IPDB_ID	Genus_species_locus	ABGD_Genus_species_locus
IPDB_ID	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.12	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_PUL1218.04	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_JAV1986.06	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH3_11	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_PUL1227.05	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1111.9	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_XI_2	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1111.8	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX2_13	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH1_07	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.04	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX2_26	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX2_12	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH1_03	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH1_09	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX2_25	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_PUL1218.05	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_PUL1229.12	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.15	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1113.2	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.16	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX2_07	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_PUL1229.08	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX2_10	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH1_08	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX2_24	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1111.2	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1113.4	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX2_14	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_PUL1229.06	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1111.10	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_KRA1197.02	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX1_26	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_IND01	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1111.1	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_PUL1218.08	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_XI_3	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.07	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1111.6	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_PUL1229.07	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1113.5	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH2_04	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX2_06	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1113.9	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_PUL1229.14	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.08	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.01	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_IND23	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.14	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH1_06	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1113.6	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.03	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_GW1111.7	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.05	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX1_29	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_ACH1483.06	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_KRA1197.01	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_JAV1971.02	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH1_04	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH1_10	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_TH3_09	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
Acanthaster_planciNIO_CR_MX1_15	Acanthaster_planciNIO_CR	Acanthaster_planciNIO_CR_abgd_group1
