"IPDB_index","OceanID","Rid","decimalLat","decimalLon"
"13486","-9999",NA,"  2.2802503"," 117.878028"
"13487","-9999",NA,"  2.2802503"," 117.878028"
"13488","-9999",NA,"  2.2802503"," 117.878028"
"13489","-9999",NA,"  2.2802503"," 117.878028"
"13490","-9999",NA,"  2.2802503"," 117.878028"
"14584","-9999",NA," 21.4667000","-157.983300"
"14585","-9999",NA," 21.4667000","-157.983300"
"14586","-9999",NA," 21.4667000","-157.983300"
"14587","-9999",NA," 21.4667000","-157.983300"
"14588","-9999",NA," 21.4667000","-157.983300"
"14589","-9999",NA," 21.4667000","-157.983300"
"24431","-9999",NA," 19.5429150","-155.665857"
"24432","-9999",NA," 19.5429150","-155.665857"
"24433","-9999",NA," 19.5429150","-155.665857"
"33546","-9999",NA," -3.5095462"," 135.752098"
"33547","-9999",NA," -3.5095462"," 135.752098"
"33548","-9999",NA," -3.5095462"," 135.752098"
"14596","-9999",NA," 19.5896793","-155.434294"
"14597","-9999",NA," 19.5896793","-155.434294"
"14598","-9999",NA," 19.5896793","-155.434294"
"33552","-9999",NA," -3.5095462"," 135.752098"
"33553","-9999",NA," -3.5095462"," 135.752098"
"33554","-9999",NA," -3.5095462"," 135.752098"
"33555","-9999",NA," -3.5095462"," 135.752098"
"33556","-9999",NA," -3.5095462"," 135.752098"
"14604","-9999",NA," 19.5896793","-155.434294"
"15698","-9999",NA," -1.4300254"," 121.445618"
"15699","-9999",NA," -1.4300254"," 121.445618"
"15700","-9999",NA," -1.4300254"," 121.445618"
"33561","-9999",NA," -3.5095462"," 135.752098"
"19346","-9999",NA," 19.5429150","-155.665857"
"13274","-9999",NA,"-19.9731670","  33.389000"
"14975","-9999",NA," 19.5896793","-155.434294"
"14976","-9999",NA," 19.5896793","-155.434294"
"14977","-9999",NA," 19.5896793","-155.434294"
"4409","-9999",NA," 19.5429150","-155.665857"
"14615","-9999",NA," 19.5896793","-155.434294"
"22270","-9999",NA,"-20.2833333","  57.550000"
"22271","-9999",NA,"-20.2833333","  57.550000"
"19722","-9999",NA," 19.5429150","-155.665857"
"22273","-9999",NA,"-20.2833333","  57.550000"
"34666","-9999",NA," -1.0915151"," 130.877859"
"7331","-9999",NA," 19.5429150","-155.665857"
"7332","-9999",NA," 19.5429150","-155.665857"
"7333","-9999",NA," 19.5429150","-155.665857"
"46","-9999",NA," 19.6960000","-155.387000"
"47","-9999",NA," 19.6960000","-155.387000"
"48","-9999",NA," 19.6960000","-155.387000"
"49","-9999",NA," 19.6960000","-155.387000"
"50","-9999",NA," 19.6960000","-155.387000"
"19733","-9999",NA," 19.5429150","-155.665857"
"5882","-9999",NA,"  3.5951960","  98.672223"
"29576","-9999",NA,"  3.5915405","  98.669300"
"29577","-9999",NA,"  3.5915405","  98.669300"
"29578","-9999",NA,"  3.5915405","  98.669300"
"29579","-9999",NA,"  3.5915405","  98.669300"
"29580","-9999",NA,"  3.5915405","  98.669300"
"29581","-9999",NA,"  3.5915405","  98.669300"
"29582","-9999",NA,"  3.5915405","  98.669300"
"29583","-9999",NA,"  3.5915405","  98.669300"
"29584","-9999",NA,"  3.5915405","  98.669300"
"62","-9999",NA,"-21.1151000","  55.536400"
"63","-9999",NA,"-21.1151000","  55.536400"
"64","-9999",NA,"-21.1151000","  55.536400"
"65","-9999",NA,"-21.1151000","  55.536400"
"66","-9999",NA,"-21.1151000","  55.536400"
"29590","-9999",NA,"  3.5915405","  98.669300"
"29591","-9999",NA,"  3.5915405","  98.669300"
"29592","-9999",NA,"  3.5915405","  98.669300"
"29593","-9999",NA,"  3.5915405","  98.669300"
"29594","-9999",NA,"  3.5915405","  98.669300"
"13193","-9999",NA,"  3.5915405","  98.669300"
"13194","-9999",NA,"  3.5915405","  98.669300"
"13195","-9999",NA,"  3.5915405","  98.669300"
"13196","-9999",NA,"  3.5915405","  98.669300"
"19758","-9999",NA," 19.5429150","-155.665857"
"13198","-9999",NA,"  3.5915405","  98.669300"
"13199","-9999",NA,"  3.5915405","  98.669300"
"13200","-9999",NA,"  3.5915405","  98.669300"
"13201","-9999",NA,"  3.5915405","  98.669300"
"13202","-9999",NA,"  3.5915405","  98.669300"
"19764","-9999",NA," 19.5429150","-155.665857"
"19765","-9999",NA," 19.5429150","-155.665857"
"13205","-9999",NA,"  3.5915405","  98.669300"
"13206","-9999",NA,"  3.5915405","  98.669300"
"7739","-9999",NA," 19.5429150","-155.665857"
"7740","-9999",NA," 19.5429150","-155.665857"
"14302","-9999",NA,"-17.7875830"," 177.938132"
"14303","-9999",NA,"-17.7875830"," 177.938132"
"14304","-9999",NA,"-17.7875830"," 177.938132"
"14305","-9999",NA,"-17.7875830"," 177.938132"
"14306","-9999",NA,"-17.7875830"," 177.938132"
"14307","-9999",NA,"-17.7875830"," 177.938132"
"14308","-9999",NA,"-17.7875830"," 177.938132"
"14309","-9999",NA,"-17.7875830"," 177.938132"
"14310","-9999",NA,"-17.7875830"," 177.938132"
"14311","-9999",NA,"-17.7875830"," 177.938132"
"14312","-9999",NA,"-17.7875830"," 177.938132"
"14313","-9999",NA,"-17.7875830"," 177.938132"
"14314","-9999",NA,"-17.7875830"," 177.938132"
"14315","-9999",NA,"-17.7875830"," 177.938132"
"14316","-9999",NA,"-17.7875830"," 177.938132"
"14317","-9999",NA,"-17.7875830"," 177.938132"
"14318","-9999",NA,"-17.7875830"," 177.938132"
"14319","-9999",NA,"-17.7875830"," 177.938132"
"14320","-9999",NA,"-17.7875830"," 177.938132"
"14321","-9999",NA,"-17.7875830"," 177.938132"
"14322","-9999",NA,"-17.7875830"," 177.938132"
"14323","-9999",NA,"-17.7875830"," 177.938132"
"14324","-9999",NA,"-17.7875830"," 177.938132"
"14325","-9999",NA,"-17.7875830"," 177.938132"
"14326","-9999",NA,"-17.7875830"," 177.938132"
"14327","-9999",NA,"-17.7875830"," 177.938132"
"14328","-9999",NA,"-17.7875830"," 177.938132"
"14329","-9999",NA,"-17.7875830"," 177.938132"
"14330","-9999",NA,"-17.7875830"," 177.938132"
"14331","-9999",NA,"-17.7875830"," 177.938132"
"14332","-9999",NA,"-17.7875830"," 177.938132"
"14333","-9999",NA,"-17.7875830"," 177.938132"
"14334","-9999",NA,"-17.7875830"," 177.938132"
"13242","-9999",NA,"  1.1255279","  97.524724"
"13243","-9999",NA,"  1.1255279","  97.524724"
"13244","-9999",NA,"  1.1255279","  97.524724"
"14338","-9999",NA,"-17.7875830"," 177.938132"
"14339","-9999",NA,"-17.7875830"," 177.938132"
"14340","-9999",NA,"-17.7875830"," 177.938132"
"14341","-9999",NA,"-17.7875830"," 177.938132"
"14342","-9999",NA,"-17.7875830"," 177.938132"
"5595","-9999",NA,"  3.5915405","  98.669300"
"5596","-9999",NA,"  3.5915405","  98.669300"
"27101","-9999",NA," 19.5429150","-155.665857"
"14710","-9999",NA," 19.5896793","-155.434294"
"14711","-9999",NA," 19.5896793","-155.434294"
"14712","-9999",NA," 19.5896793","-155.434294"
"14713","-9999",NA," 19.5896793","-155.434294"
"14714","-9999",NA," 22.0833000","-159.500000"
